"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"33770","2020/03/20","MU",1269670,3,0,3,0,3,0,3,3,2.36281868517016e-06,2.36281868517016e-06,2.36281868517016e-06,2.36281868517016e-06
"33769","2020/03/21","MU",1269670,9,0,12,0,12,0,12,12,9.45127474068065e-06,7.08845605551049e-06,9.45127474068065e-06,9.45127474068065e-06
"33768","2020/03/22","MU",1269670,2,1,14,1,14,1,14,14,1.10264871974608e-05,1.57521245678011e-06,1.10264871974608e-05,1.10264871974608e-05
"33767","2020/03/23","MU",1269670,14,1,28,2,28,2,28,28,2.20529743949215e-05,1.10264871974608e-05,2.20529743949215e-05,2.20529743949215e-05
"33766","2020/03/24","MU",1269670,8,0,36,2,36,2,36,36,2.83538242220419e-05,6.30084982712043e-06,2.83538242220419e-05,2.83538242220419e-05
"33765","2020/03/25","MU",1269670,6,0,42,2,42,2,42,42,3.30794615923823e-05,4.72563737034032e-06,3.30794615923823e-05,3.30794615923823e-05
"33764","2020/03/26","MU",1269670,6,0,48,2,48,2,48,48,3.78050989627226e-05,4.72563737034032e-06,3.78050989627226e-05,3.78050989627226e-05
"33763","2020/03/27","MU",1269670,33,0,78,2,81,2,81,81,6.37961044995944e-05,2.59910055368718e-05,6.37961044995944e-05,6.37961044995944e-05
"33762","2020/03/28","MU",1269670,13,0,82,2,94,2,94,94,7.40349854686651e-05,1.02388809690707e-05,7.40349854686651e-05,7.40349854686651e-05
"33761","2020/03/29","MU",1269670,8,0,88,1,102,2,102,102,8.03358352957855e-05,6.30084982712043e-06,8.03358352957855e-05,8.03358352957855e-05
"33760","2020/03/30","MU",1269670,8,1,82,1,110,3,110,110,8.66366851229059e-05,6.30084982712043e-06,8.66366851229059e-05,8.66366851229059e-05
"33759","2020/03/31","MU",1269670,18,0,92,1,128,3,128,128,0.000100813597233927,1.4176912111021e-05,0.000100813597233927,0.000100813597233927
"33758","2020/04/01","MU",1269670,15,0,101,1,143,3,140,143,0.000112627690659778,1.18140934258508e-05,0.000110264871974608,0.000112627690659778
"33757","2020/04/02","MU",1269670,11,2,106,3,154,5,142,154,0.000121291359172068,8.6636685122906e-06,0.000111840084431388,0.000121291359172068
"33756","2020/04/03","MU",1269670,15,2,88,5,169,7,155,169,0.000133105452597919,1.18140934258508e-05,0.000122078965400458,0.000133105452597919
"33755","2020/04/04","MU",1269670,17,0,92,5,186,7,158,186,0.00014649475848055,1.33893058826309e-05,0.000124441784085629,0.00014649475848055
"33754","2020/04/05","MU",1269670,10,0,94,5,196,7,160,196,0.000154370820764451,7.87606228390054e-06,0.000126016996542409,0.000154370820764451
"33753","2020/04/06","MU",1269670,31,0,117,4,227,7,185,227,0.000178786613844542,2.44157930800917e-05,0.00014570715225216,0.000178786613844542
"33752","2020/04/07","MU",1269670,17,0,116,4,244,7,196,241,0.000192175919727173,1.33893058826309e-05,0.000154370820764451,0.000189813101042003
"33751","2020/04/08","MU",1269670,24,0,125,4,268,7,187,256,0.000211078469208535,1.89025494813613e-05,0.00014728236470894,0.000201627194467854
"33750","2020/04/09","MU",1269670,5,0,119,2,273,7,179,259,0.000215016500350485,3.93803114195027e-06,0.00014098151488182,0.000203990013153024
"33749","2020/04/10","MU",1269670,41,0,145,0,314,7,212,286,0.000247308355714477,3.22918553639922e-05,0.000166972520418691,0.000225255381319555
"33748","2020/04/11","MU",1269670,4,2,132,2,318,9,208,282,0.000250458780628037,3.15042491356022e-06,0.000163822095505131,0.000222104956405995
"33747","2020/04/12","MU",1269670,1,0,123,2,319,9,191,277,0.000251246386856427,7.87606228390054e-07,0.0001504327896225,0.000218166925264045
"33746","2020/04/13","MU",1269670,5,0,97,2,324,9,181,276,0.000255184417998378,3.93803114195027e-06,0.0001425567273386,0.000217379319035655
"33745","2020/04/14","MU",1269670,0,0,80,2,324,9,170,243,0.000255184417998378,0,0.000133893058826309,0.000191388313498783
"33744","2020/04/15","MU",1269670,0,0,56,2,324,9,155,230,0.000255184417998378,0,0.000122078965400458,0.000181149432529712
"33743","2020/04/16","MU",1269670,0,0,51,2,324,9,138,222,0.000255184417998378,0,0.000108689659517827,0.000174848582702592
"33742","2020/04/17","MU",1269670,0,0,10,2,324,9,128,214,0.000255184417998378,0,0.000100813597233927,0.000168547732875472
"33741","2020/04/18","MU",1269670,0,0,6,0,324,9,97,196,0.000255184417998378,0,7.63978041538352e-05,0.000154370820764451
"33740","2020/04/19","MU",1269670,1,0,6,0,325,9,81,182,0.000255972024226768,7.87606228390054e-07,6.37961044995944e-05,0.00014334433356699
"33739","2020/04/20","MU",1269670,3,0,4,0,328,9,60,174,0.000258334842911938,2.36281868517016e-06,4.72563737034032e-05,0.000137043483739869
"33738","2020/04/21","MU",1269670,0,0,4,0,328,9,55,159,0.000258334842911938,0,4.3318342561453e-05,0.000125229390314019
"33737","2020/04/22","MU",1269670,0,0,4,0,328,9,14,142,0.000258334842911938,0,1.10264871974608e-05,0.000111840084431388
"33736","2020/04/23","MU",1269670,1,0,5,0,329,9,11,133,0.000259122449140328,7.87606228390054e-07,8.6636685122906e-06,0.000104751628375877
"33735","2020/04/24","MU",1269670,2,0,7,0,331,9,12,104,0.000260697661597108,1.57521245678011e-06,9.45127474068065e-06,8.19110477525656e-05
"33734","2020/04/25","MU",1269670,0,0,7,0,331,9,7,87,0.000260697661597108,0,5.51324359873038e-06,6.85217418699347e-05
"33733","2020/04/26","MU",1269670,0,0,6,0,331,9,7,63,0.000260697661597108,0,5.51324359873038e-06,4.96191923885734e-05
"33732","2020/04/27","MU",1269670,1,0,4,0,332,9,8,59,0.000261485267825498,7.87606228390054e-07,6.30084982712043e-06,4.64687674750132e-05
"33731","2020/04/28","MU",1269670,0,1,4,1,332,10,8,18,0.000261485267825498,0,6.30084982712043e-06,1.4176912111021e-05
"33730","2020/04/29","MU",1269670,0,0,4,1,332,10,8,14,0.000261485267825498,0,6.30084982712043e-06,1.10264871974608e-05
"33729","2020/04/30","MU",1269670,0,0,3,1,332,10,8,13,0.000261485267825498,0,6.30084982712043e-06,1.02388809690707e-05
"33728","2020/05/01","MU",1269670,0,0,1,1,332,10,7,8,0.000261485267825498,0,5.51324359873038e-06,6.30084982712043e-06
"33727","2020/05/02","MU",1269670,0,0,1,1,332,10,4,8,0.000261485267825498,0,3.15042491356022e-06,6.30084982712043e-06
"33726","2020/05/03","MU",1269670,0,0,1,1,332,10,4,8,0.000261485267825498,0,3.15042491356022e-06,6.30084982712043e-06
"33725","2020/05/04","MU",1269670,0,0,0,1,332,10,4,8,0.000261485267825498,0,3.15042491356022e-06,6.30084982712043e-06
