"date","region","cases","cases_smooth","cum_cases","cum_cases_smooth","deads","deads_smooth","cum_deads","cum_deads_smooth"
2020-01-01,"ESAN",0,9.12184810898277e-07,0,9.12184810898277e-07,0,0,0,0
2020-01-02,"ESAN",0,1.21027484454648e-06,0,2.12245965544476e-06,0,0,0,0
2020-01-03,"ESAN",0,1.60577679198714e-06,0,3.72823644743189e-06,0,0,0,0
2020-01-04,"ESAN",0,2.13052358917347e-06,0,5.85876003660536e-06,0,0,0,0
2020-01-05,"ESAN",0,2.82675075806774e-06,0,8.68551079467311e-06,0,0,0,0
2020-01-06,"ESAN",0,3.75049583532918e-06,0,1.24360066300023e-05,0,0,0,0
2020-01-07,"ESAN",0,4.97610868971682e-06,0,1.74121153197191e-05,0,0,0,0
2020-01-08,"ESAN",0,6.60223575207181e-06,0,2.40143510717909e-05,0,0,0,0
2020-01-09,"ESAN",0,8.7597598131814e-06,0,3.27741108849723e-05,0,0,0,0
2020-01-10,"ESAN",0,1.16223344434841e-05,0,4.43964453284564e-05,0,0,0,0
2020-01-11,"ESAN",1,1.54203609231019e-05,1,5.98168062515583e-05,0,0,0,0
2020-01-12,"ESAN",0,2.04595326492457e-05,1,8.02763389008039e-05,0,0,0,0
2020-01-13,"ESAN",0,2.7145439612814e-05,1,0.000107421778513618,0,0,0,0
2020-01-14,"ESAN",1,3.60162132953822e-05,2,0.000143437991809,0,0,0,0
2020-01-15,"ESAN",0,4.77858394905368e-05,2,0.000191223831299537,0,0,0,0
2020-01-16,"ESAN",0,6.34016251873847e-05,2,0.000254625456486922,0,0,0,0
2020-01-17,"ESAN",0,8.41204448782237e-05,2,0.000338745901365145,0,0,0,0
2020-01-18,"ESAN",0,0.000111609903160811,2,0.000450355804525956,0,0,0,0
2020-01-19,"ESAN",0,0.000148082555969449,2,0.000598438360495406,0,0,0,0
2020-01-20,"ESAN",0,0.000196473993546839,2,0.000794912354042245,0,0,0,0
2020-01-21,"ESAN",0,0.000260679118589954,2,0.0010555914726322,0,0,0,0
2020-01-22,"ESAN",0,0.000345865637015257,2,0.00140145710964746,0,0,0,0
2020-01-23,"ESAN",0,0.00045888999341386,2,0.00186034710306132,0,0,0,0
2020-01-24,"ESAN",0,0.000608849228786472,2,0.00246919633184779,0,0,0,0
2020-01-25,"ESAN",1,0.000807813178189589,3,0.00327700951003738,0,0,0,0
2020-01-26,"ESAN",1,0.00107179594104139,4,0.00434880545107877,0,0,0,0
2020-01-27,"ESAN",0,0.00142204481839613,4,0.0057708502694749,0,0,0,0
2020-01-28,"ESAN",0,0.00188675046411436,4,0.00765760073358926,0,0,0,0
2020-01-29,"ESAN",0,0.00250331588553897,4,0.0101609166191282,0,0,0,0
2020-01-30,"ESAN",0,0.00332136692959637,4,0.0134822835487246,0,0,0,0
2020-01-31,"ESAN",0,0.00440674656255394,4,0.0178890301112785,0,0,0,0
2020-02-01,"ESAN",3,0.00584681443630714,7,0.0237358445475857,0,0,0,0
2020-02-02,"ESAN",1,0.00775747829564258,8,0.0314933228432283,0,0,0,0
2020-02-03,"ESAN",1,0.0102925231750789,9,0.0417858460183071,0,0,0,0
2020-02-04,"ESAN",0,0.0136559893817235,9,0.0554418354000306,0,0,0,0
2020-02-05,"ESAN",0,0.0181185962547872,9,0.0735604316548178,0,0,0,0
2020-02-06,"ESAN",2,0.0240395326903618,11,0.0975999643451796,0,0,0,0
2020-02-07,"ESAN",2,0.0318953687396768,13,0.129495333084856,0,0,0,0
2020-02-08,"ESAN",0,0.042318415919969,13,0.171813749004825,0,0,0,0
2020-02-09,"ESAN",0,0.0561476240336206,13,0.227961373038446,0,0,0,0
2020-02-10,"ESAN",1,0.0744961116665237,14,0.30245748470497,0,0,0,0
2020-02-11,"ESAN",0,0.0988407666194911,14,0.401298251324461,0,0,0,0
2020-02-12,"ESAN",1,0.131141131624561,15,0.532439382949022,0,0,0,0
2020-02-13,"ESAN",1,0.173997225112244,16,0.706436608061266,0,0.000383106966735141,0,0.000383106966735141
2020-02-14,"ESAN",1,0.230858977879695,17,0.937295585940961,0,0.00050337956896283,0,0.000886486535697971
2020-02-15,"ESAN",1,0.306304060597091,18,1.24359964653805,0,0.00066141047925541,0,0.00154789701495338
2020-02-16,"ESAN",0,0.4064066146055,18,1.65000626114355,0,0.000869053424319816,0,0.0024169504392732
2020-02-17,"ESAN",0,0.53922658790933,18,2.18923284905288,0,0.00114188340160111,0,0.0035588338408743
2020-02-18,"ESAN",3,0.715459135265704,21,2.90469198431859,0,0.00150036488413232,0,0.00505919872500662
