"","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
"1",2020-04-16,0,0,0,0
"2",2020-04-17,0,0,0,0
"3",2020-04-18,0,0,0,0
"4",2020-04-19,0,0,0,0
"5",2020-04-20,0,0,0,0
"6",2020-04-21,0,0,0,0
"7",2020-04-22,0,0,0,0
"8",2020-04-23,0,0,0,0
"9",2020-04-24,0,0,0,0
"10",2020-04-25,0,0,0,0
"11",2020-04-26,0,0,0,0
"12",2020-04-27,0,0,0,0
"13",2020-04-28,0,0,0,0
"14",2020-04-29,0,0,0,0
"15",2020-04-30,0,0,0,0
"16",2020-05-01,0,0,0,0
"17",2020-05-02,0,0,0,0
"18",2020-05-03,0,0,0,0
"19",2020-05-04,0,0,0,0
"20",2020-05-05,0,0,0,0
"21",2020-05-06,0,0,0,0
"22",2020-05-07,0,0,0,0
"23",2020-05-08,0,0,0,0
"24",2020-05-09,0,0,0,0
"25",2020-05-10,0,0,0,0
"26",2020-05-11,0,0,0,0
"27",2020-05-12,0,0,0,0
"28",2020-05-13,0,0,0,0
"29",2020-05-14,0,0,0,0
"30",2020-05-15,0.0045045045045045,0,0,0
"31",2020-05-16,0.0045045045045045,0,0,0
"32",2020-05-17,0.0045045045045045,0,0,0
"33",2020-05-18,0.0045045045045045,0,0,0
"34",2020-05-19,0.0045045045045045,0,0,0
"35",2020-05-20,0.0045045045045045,0,0,0
"36",2020-05-21,0.0045045045045045,0,0,0
"37",2020-05-22,0.0045045045045045,0,0,0
"38",2020-05-23,0.0045045045045045,0,0,0
"39",2020-05-24,0.0045045045045045,0,0,0
"40",2020-05-25,0.0045045045045045,0,0,0
"41",2020-05-26,0.0045045045045045,0,0,0
"42",2020-05-27,0.0045045045045045,0,0,0
"43",2020-05-28,0.0045045045045045,0,0,0
"44",2020-05-29,0.0045045045045045,0,0,0
"45",2020-05-30,0.0045045045045045,0,0,0
"46",2020-05-31,0.0045045045045045,0,0,0
"47",2020-06-01,0.0045045045045045,0,0,0
"48",2020-06-02,0.0045045045045045,0,0,0
"49",2020-06-03,0.0045045045045045,0,0,0
"50",2020-06-04,0.0045045045045045,0,0,0
"51",2020-06-05,0.0045045045045045,0,0,0
"52",2020-06-06,0.0045045045045045,0,0,0
"53",2020-06-07,0.0045045045045045,0,0,0
"54",2020-06-08,0.0045045045045045,0,0,0
"55",2020-06-09,0.0168649593370481,0.00234232181255338,0.0011959614130507,0.00142934399888943
