"date","reg_code","reg_name","population","cases","deaths","hospital","icu","cases_prev_week","deaths_prev_week","hospital_prev_week","icu_prev_week"
2020-01-01,"ESMD","Madrid",6663394,0,0,1,0,0,0,1,0
2020-01-02,"ESMD","Madrid",6663394,0,0,3,1,0,0,4,1
2020-01-03,"ESMD","Madrid",6663394,0,0,3,1,0,0,7,2
2020-01-04,"ESMD","Madrid",6663394,0,0,0,0,0,0,7,2
2020-01-05,"ESMD","Madrid",6663394,0,0,0,0,0,0,7,2
2020-01-06,"ESMD","Madrid",6663394,0,0,0,0,0,0,7,2
2020-01-07,"ESMD","Madrid",6663394,0,0,3,0,0,0,10,2
2020-01-08,"ESMD","Madrid",6663394,0,0,1,0,0,0,10,2
2020-01-09,"ESMD","Madrid",6663394,0,0,1,0,0,0,8,1
2020-01-10,"ESMD","Madrid",6663394,0,0,2,0,0,0,7,0
2020-01-11,"ESMD","Madrid",6663394,0,0,0,0,0,0,7,0
2020-01-12,"ESMD","Madrid",6663394,0,0,0,0,0,0,7,0
2020-01-13,"ESMD","Madrid",6663394,0,0,2,0,0,0,9,0
2020-01-14,"ESMD","Madrid",6663394,0,0,5,0,0,0,11,0
2020-01-15,"ESMD","Madrid",6663394,0,0,5,1,0,0,15,1
2020-01-16,"ESMD","Madrid",6663394,0,0,3,0,0,0,17,1
2020-01-17,"ESMD","Madrid",6663394,0,0,3,0,0,0,18,1
2020-01-18,"ESMD","Madrid",6663394,1,0,3,0,1,0,21,1
2020-01-19,"ESMD","Madrid",6663394,0,0,0,0,1,0,21,1
2020-01-20,"ESMD","Madrid",6663394,0,0,1,0,1,0,20,1
2020-01-21,"ESMD","Madrid",6663394,0,0,3,0,1,0,18,1
2020-01-22,"ESMD","Madrid",6663394,0,0,1,0,1,0,14,0
2020-01-23,"ESMD","Madrid",6663394,0,0,5,0,1,0,16,0
2020-01-24,"ESMD","Madrid",6663394,0,0,5,1,1,0,18,1
2020-01-25,"ESMD","Madrid",6663394,0,0,1,0,0,0,16,1
2020-01-26,"ESMD","Madrid",6663394,0,0,1,0,0,0,17,1
2020-01-27,"ESMD","Madrid",6663394,0,0,0,0,0,0,16,1
2020-01-28,"ESMD","Madrid",6663394,0,0,3,0,0,0,16,1
2020-01-29,"ESMD","Madrid",6663394,0,0,2,0,0,0,17,1
2020-01-30,"ESMD","Madrid",6663394,0,0,5,0,0,0,17,1
2020-01-31,"ESMD","Madrid",6663394,0,0,3,0,0,0,15,0
2020-02-01,"ESMD","Madrid",6663394,0,0,2,0,0,0,16,0
2020-02-02,"ESMD","Madrid",6663394,0,0,6,0,0,0,21,0
2020-02-03,"ESMD","Madrid",6663394,0,0,5,0,0,0,26,0
2020-02-04,"ESMD","Madrid",6663394,0,0,5,0,0,0,28,0
2020-02-05,"ESMD","Madrid",6663394,0,0,5,1,0,0,31,1
2020-02-06,"ESMD","Madrid",6663394,0,0,5,0,0,0,31,1
2020-02-07,"ESMD","Madrid",6663394,0,0,5,1,0,0,33,2
2020-02-08,"ESMD","Madrid",6663394,0,0,3,0,0,0,34,2
2020-02-09,"ESMD","Madrid",6663394,0,0,3,0,0,0,31,2
2020-02-10,"ESMD","Madrid",6663394,0,0,6,1,0,0,32,3
2020-02-11,"ESMD","Madrid",6663394,0,0,6,2,0,0,33,5
2020-02-12,"ESMD","Madrid",6663394,1,0,8,0,1,0,36,4
2020-02-13,"ESMD","Madrid",6663394,0,0,8,0,1,0,39,4
2020-02-14,"ESMD","Madrid",6663394,0,0,5,0,1,0,39,3
2020-02-15,"ESMD","Madrid",6663394,0,0,3,2,1,0,39,5
2020-02-16,"ESMD","Madrid",6663394,0,0,2,0,1,0,38,5
2020-02-17,"ESMD","Madrid",6663394,0,0,9,3,1,0,41,7
2020-02-18,"ESMD","Madrid",6663394,0,0,13,1,1,0,48,6
2020-02-19,"ESMD","Madrid",6663394,0,0,14,1,0,0,54,7
2020-02-20,"ESMD","Madrid",6663394,0,0,15,0,0,0,61,7
2020-02-21,"ESMD","Madrid",6663394,0,0,19,0,0,0,75,7
2020-02-22,"ESMD","Madrid",6663394,0,0,8,1,0,0,80,6
2020-02-23,"ESMD","Madrid",6663394,0,0,8,1,0,0,86,7
2020-02-24,"ESMD","Madrid",6663394,1,0,18,3,1,0,95,7
2020-02-25,"ESMD","Madrid",6663394,0,0,16,1,1,0,98,7
2020-02-26,"ESMD","Madrid",6663394,4,0,25,3,5,0,109,9
2020-02-27,"ESMD","Madrid",6663394,3,0,24,2,8,0,118,11
2020-02-28,"ESMD","Madrid",6663394,6,0,28,3,14,0,127,14
2020-02-29,"ESMD","Madrid",6663394,6,0,21,0,20,0,140,13
2020-03-01,"ESMD","Madrid",6663394,23,0,32,3,43,0,164,15
2020-03-02,"ESMD","Madrid",6663394,39,0,64,7,81,0,210,19
2020-03-03,"ESMD","Madrid",6663394,39,1,86,5,120,1,280,23
2020-03-04,"ESMD","Madrid",6663394,57,0,98,6,173,1,353,26
2020-03-05,"ESMD","Madrid",6663394,116,1,133,14,286,2,462,38
2020-03-06,"ESMD","Madrid",6663394,166,2,156,15,446,4,590,50
2020-03-07,"ESMD","Madrid",6663394,180,1,186,15,620,5,755,65
2020-03-08,"ESMD","Madrid",6663394,218,10,214,25,815,15,937,87
2020-03-09,"ESMD","Madrid",6663394,430,9,330,27,1206,24,1203,107
2020-03-10,"ESMD","Madrid",6663394,658,23,385,30,1825,46,1502,132
2020-03-11,"ESMD","Madrid",6663394,836,25,520,39,2604,71,1924,165
2020-03-12,"ESMD","Madrid",6663394,968,38,532,45,3456,108,2323,196
2020-03-13,"ESMD","Madrid",6663394,883,48,557,62,4173,154,2724,243
